tempo,potencia
275,3.5768607554711e-09
276,3.5682516705357e-09
277,3.5675208160456e-09
278,3.5607820130485e-09
279,3.5602244046393e-09
280,3.5552456727267e-09
281,3.5548508810153e-09
282,3.5515239850239e-09
283,3.5512817787444e-09
284,3.5495006516679e-09
285,3.5494010150013e-09
286,3.5490619289019e-09
287,3.549095076793e-09
288,3.5500967930792e-09
289,3.5502531846262e-09
290,3.5524970846581e-09
291,3.552767434675e-09
292,3.5561576316877e-09
293,3.5565329205287e-09
294,3.5609763538836e-09
295,3.5614478356298e-09
296,3.5668543484109e-09
297,3.5674135575157e-09
298,3.5736959584898e-09
299,3.5743347149812e-09
300,3.5814088259309e-09
301,3.5821192392627e-09
302,3.5899039286916e-09
303,3.5906784003434e-09
304,3.5990956045296e-09
305,3.599926829444e-09
306,3.6089015617965e-09
307,3.6097825287444e-09
308,3.6192428783907e-09
309,3.6201668693517e-09
310,3.6300439898519e-09
311,3.6310045784933e-09
312,3.6412326675417e-09
313,3.6422237168796e-09
314,3.6527399878231e-09
315,3.6537556471373e-09
316,3.6645002931025e-09
317,3.6655349941859e-09
318,3.6764511455649e-09
319,3.6774995983699e-09
320,3.6885332743836e-09
321,3.6895904621389e-09
322,3.7006905171498e-09
323,3.7017516910067e-09
324,3.7128697562225e-09
325,3.7139304294885e-09
326,3.7250208506585e-09
327,3.7260767926781e-09
328,3.7370965643363e-09
329,3.7381437940662e-09
330,3.7490524908572e-09
331,3.7500872701874e-09
332,3.7608469757565e-09
333,3.7618658026226e-09
334,3.7724410365321e-09
335,3.7734406378559e-09
336,3.7837982809432e-09
337,3.7847756054482e-09
338,3.7948848240171e-09
339,3.7958370349474e-09
340,3.8056692041498e-09
341,3.8065936719287e-09
342,3.8161222986696e-09
343,3.8170165935269e-09
344,3.8262172391832e-09
345,3.8270791237787e-09
346,3.8359293270131e-09
347,3.8367567490813e-09
348,3.8452359489957e-09
349,3.8460270340337e-09
350,3.8541164938841e-09
351,3.8548695379029e-09
352,3.8625522695799e-09
353,3.8632657319374e-09
354,3.8705264213861e-09
355,3.8711989177192e-09
356,3.8780238514627e-09
357,3.87865414673e-09
358,3.8850311396354e-09
359,3.8856181412852e-09
360,3.8915364656913e-09
361,3.8920792169648e-09
362,3.897529533285e-09
363,3.8980272066657e-09
364,3.9030014955493e-09
365,3.9034533863633e-09
366,3.9079448824998e-09
367,3.9083504026784e-09
368,3.9123535303031e-09
369,3.9127122023091e-09
370,3.9162225124672e-09
371,3.9165339633908e-09
372,3.9195480729986e-09
373,3.9198120288277e-09
374,3.9223275615619e-09
375,3.9225438416275e-09
376,3.9245593706673e-09
377,3.9247278822667e-09
378,3.9262428748991e-09
379,3.9263636080976e-09
380,3.9273783721963e-09
381,3.9274513948062e-09
382,3.927967027178e-09
383,3.9279924799178e-09
384,3.9280108165144e-09
385,3.927988908345e-09
386,3.9275124763248e-09
387,3.9274434799605e-09
388,3.9264754515838e-09
389,3.9263596991785e-09
390,3.924903847515e-09
391,3.9247417265191e-09
392,3.9228023829407e-09
393,3.9225943321285e-09
394,3.9201763455578e-09
395,3.9199228512195e-09
396,3.9170315491042e-09
397,3.9167331414023e-09
398,3.9133742923781e-09
399,3.9130315418628e-09
400,3.9092113200695e-09
401,3.9088248343494e-09
402,3.9045497853601e-09
403,3.9041202059257e-09
404,3.8993972142511e-09
405,3.898925213447e-09
406,3.8937614715693e-09
407,3.8932477497096e-09
408,3.8876507286076e-09
409,3.887096011232e-09
410,3.8810734323523e-09
411,3.8804784676178e-09
412,3.8740382762474e-09
413,3.8734038324527e-09
414,3.8665541724504e-09
415,3.8658810356869e-09
416,3.8586302255289e-09
417,3.8579191974551e-09
418,3.8502757075513e-09
419,3.8495276032862e-09
420,3.8415000345208e-09
421,3.8407156806537e-09
422,3.8323127441095e-09
423,3.8314929768185e-09
424,3.8227234746397e-09
425,3.8218691379181e-09
426,3.8127419452698e-09
427,3.8118538892555e-09
428,3.802377937337e-09
429,3.8014570167391e-09
430,3.7916412768106e-09
431,3.7906883494322e-09
432,3.7805418178137e-09
433,3.7795577431644e-09
434,3.7690894271665e-09
435,3.7680750651635e-09
436,3.7572939699125e-09
437,3.7562501796634e-09
438,3.7451652957812e-09
439,3.7440929344485e-09
440,3.7327132265513e-09
